Serial Number,Date of Entry,Barcode/Accession No,Title,Author,Pages,Publisher,Place,Copyright Date,Department,Price,Discount Percent,Net Cost,Type
462,13-09-2014,PCCOEEC27967,JEEVAN AIESE NAV.,"DATE, CHANDAN",72,ANUSHREE PRAKASHAN,PUNE,,GENERAL,,,,DBK
463,01-09-2012,PCCOEEC21441,INDIAN ECONOMY.,"DATT, GAURAV",1003,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,495,21,391,HSB
464,01-09-2012,PCCOEEC21442,INDIAN ECONOMY.,"DATT, GAURAV",1003,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,495,21,391,HSB
465,20-12-2024,PCCOEEC40666,ASSAMCHA DHADSI YODDHA LACHIT BARPHUKAN.,"DATTA, ARUPKUMAR",200,PUBLICATION BOARD,ASSAM,2024,GENERAL,0,,0,DBK
466,20-12-2024,PCCOEEC40667,ASSAMCHA DHADSI YODDHA LACHIT BARPHUKAN.,"DATTA, ARUPKUMAR",200,PUBLICATION BOARD,ASSAM,2024,GENERAL,0,,0,DBK
467,26-10-2013,PCCOEEC26634,DATTA AAV SUNDARAM : BHARTIYA ARTHVYAVSTHA.,"DATTA, GAURAV",1058,S. CHAND AND COMPANY,NEW DELHI,,GENERAL,495,20,396,HSB
468,09-01-2013,PCCOEEC23867,RE JEEVANA.,"DAVANE, PRAVIN",231,NAVCHAITANYA PRAKASHAN.,MIMBAI,,GENERAL,230,30,161,GBK
469,11-01-2013,PCCOEEC23928,SATMAJALI.,"DAVANE, PRAVIN",128,NAVCHAITANYA PRAKASHAN.,MIMBAI,,GENERAL,125,30,88,GBK
470,11-09-2014,PCCOEEC27930,SURYA PERNARA MANUS.,"DAVANE, PRAVIN",202,,MUMBAI,,GENERAL,,,,DBK
471,13-09-2014,PCCOEEC27982,SAWR RE BHAG 4,"DAVANE, PRAVIN",144,NAVCHAITANYA PRAKASHAN.,MIMBAI,,GENERAL,,,,DBK
472,16-09-2014,PCCOEEC28025,FULNYAT MOUJ AAHE.,"DAVANE, PRAVIN",79,NAVCHAITANYA PRAKASHAN.,MIMBAI,,GENERAL,,,,DBK
473,31-01-2006,PCCOEEC09075,ALGUJ.,"DAVANE, PRAVIN",165,NAVCHAITANYA PRAKASHAN.,MIMBAI,,GENERAL,130,20,104,GBK
474,29-08-2000,PCCOEEC00955,How to write AND publish a scientific paper,"DAY, R. A.",223,CAMBRIDGE UNIVERSITY PRESS,,1995,GENERAL,225,16,189,GBK
475,29-08-2000,PCCOEEC00956,How to write AND publish a scientific paper,"DAY, R. A.",223,CAMBRIDGE UNIVERSITY PRESS,,1995,GENERAL,225,16,189,GBK
476,07-02-2006,PCCOEEC09141,SPEEDPOST,"DE, SHOBHA",352,MEHATA PRAKASHAN,PUNE,,GENERAL,250,20,200,GBK
477,16-11-2011,PCCOEEC19939,SECOND THOUGHTS,"DE, SHOBHA",402,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,300,25,225,GBK
478,16-11-2011,PCCOEEC19940,SECOND THOUGHTS,"DE, SHOBHA",402,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,300,25,225,GBK
479,24-11-2008,PCCOEEC11534,THE IITIANS,"DEB, SANDIPAN",375,PENGUIN BOOKS INDIA LTD,NEW DELHI,,GENERAL,425,22,332,GBK
480,04-01-2013,PCCOEEC23804,MEDHA PATKAR : NARMADA SANGHARSHA.,DEEPAK CHAITANYA,216,SAKET PRAKASHAN,PUNE,,GENERAL,180,30,126,GBK
481,08-03-2025,PCCOEEC41380,NETZWERK DEUTSCHALS FREMDSPRACHE ARBEITSBUCH-A1 MIT AUDIOS (GERMAN). 3 BOOKS SET.,"DENGLER, STEFANI",165,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,950,25,684,GBK
482,08-03-2025,PCCOEEC41377,NETZWERK : DEUTSCHALS FREMDSPRACHE ARBEITSBUCH-A1 MIT AUDIOS (GERMAN) 3 BOOKS SET.,"DENGLER, STEFANIE",165,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,950,28,684,GBK
483,08-03-2025,PCCOEEC41378,NETZWERK : DEUTSCHALS FREMDSPRACHE KURSBUCH A1 MIT AUDIOS (GERMAN) 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
484,08-03-2025,PCCOEEC41379,"NETZWORK : TEXTBOOK FOR GERMAN, GLOSSARY GERMAN-ENGLISH. AI. 3 BOOKS SET.","DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
485,08-03-2025,PCCOEEC41381,NETZWERK DEUTSCHALS FREMDSPRACHE KURSBUCH A1 MIT AUDIOS (GERMAN) 3 BOOKS SET.,"DENGLER, STEFANIE",160,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
486,08-03-2025,PCCOEEC41382,NETZWORK : TEXTBOOK FOR GERMAN GLOSSARY GERMAN-ENGLISH. AI. 3 BOOKS SET.,"DENGLER, STEFANIE",52,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,0,,0,GBK
487,08-03-2025,PCCOEEC41383,NETZWERK DEUTSCH ALS FREMDSPRACHE ARBEITSBUCH-A2 MIT AUDIOS (GERMAN) 4 SET OF BOOKS.,"DENGLER, STEFANIE",168,GOYAL PUBLISHERS AND DISTRIBUTORS PVT. LTD.,DELHI,2021,GENERAL,970,28,698.4,GBK
